review,rating,date,bank,scrape_lang,source,detected_language
Please Recover thank you,5,2024-07-02,BOA,en,Google Play,en
This app doesn't work,1,2024-06-30,BOA,en,Google Play,en
"the app used to run fine, but now it takes like forever to even open the main dashboard and sometimes it just crashes on its own. you guys gotta step it up. we need this app to be way faster",1,2024-06-27,BOA,en,Google Play,en
the underrated app I've ever seen and ur banking system is Soo Idiocracy,1,2024-06-27,BOA,en,Google Play,en
It demands to disable developer option.,1,2024-06-27,BOA,en,Google Play,en
"It's been two months now, I cannot do any transaction using this app. It's really disappointing. I am using bank of Abyssinia currently because it's the nearest bank to my work place. The bank is turning to the worst bank in the country day by day. They always respond to customers that they are updating their system all year long, I think that's what they train their customer service operators to do.",1,2024-06-26,BOA,en,Google Play,en
"Riddled with crashes, cant use it anymore. Very frustrating!",1,2024-06-20,BOA,en,Google Play,en
Always error occured. The worst app ever,1,2024-06-20,BOA,en,Google Play,en
It has become the most unreliable mibile banking app ever.,1,2024-06-16,BOA,en,Google Play,en
The poorest mobile banking I have seen in the industry. Is not stable to login and post transactions. Is not attractive. Error reports frequently.,5,2024-06-13,BOA,en,Google Play,en
Really Bank,5,2024-06-12,BOA,en,Google Play,en
I like the the bank of Abyssinia is the best first bank of Ethiopia,1,2024-06-11,BOA,en,Google Play,en
The app is not good need a few work,3,2024-06-11,BOA,en,Google Play,en
"The worst mob app i have ever seen. Slow, uncomfortable and stupid. It is better to learn from the best app (tele birr). The released updates is even worst.",1,2024-06-11,BOA,en,Google Play,en
"Unreliable, expensive service. Most of the time, it is not working. Sometimes, it will take more than a day to complete transactions and charges more for this unworthy service. I will not recommend this bank app to anyone.",1,2024-06-10,BOA,en,Google Play,en
The best app,5,2024-06-06,BOA,en,Google Play,en
Developer option to be off really,1,2024-06-06,BOA,en,Google Play,en
Good app boa,5,2024-06-06,BOA,en,Google Play,en
I'm disappointed with the recent changes to this app. Disabling developer options for functionality seems unnecessary. The previous version offered a more user-friendly experience.,1,2024-06-06,BOA,en,Google Play,en
"Worest app, it cannot be downloaded",2,2024-06-05,BOA,en,Google Play,en
slow only some times the wey it is veary nice app,5,2024-06-05,BOA,en,Google Play,en
It's nice apps,1,2024-06-04,BOA,en,Google Play,en
Wow! what a disgrace for BOA. The app barely works. Too slow and always returns error.,1,2024-06-03,BOA,en,Google Play,en
Excited by your service,5,2024-06-02,BOA,en,Google Play,en
"The worst mobile banking app! It doesn't load (seems like with the perfect WiFi and data connection it still manages to have network issues), when you finally get into the app, it makes it so hard more than it should be to send money.",1,2024-05-31,BOA,en,Google Play,en
It is Good to save time 👌👌,3,2024-05-31,BOA,en,Google Play,en
"I'm sorry but what kind of stupid developer thinks the app will be faster if we disable ""Developer mode""? I've never seen such degeneracy in my entire life, please get rid of this feature",1,2024-05-30,BOA,en,Google Play,en
What is the purpose or point of not allowing to take a screenshot of the recipe after transferring???,1,2024-05-29,BOA,en,Google Play,en
I can't use the app unless I turn off developer mode?? What kind of stupid rule is that?? The worst experience for a banking app!!,1,2024-05-26,BOA,en,Google Play,en
Sorry to say this compared to other banks mobile app its the worest it need more improvement the app doesn't match the bank standard it need more update its too slow plus it keep saying stop developing option on your phone when no developing setting enabled ??plus when it come to recent transaction nothing to display...,1,2024-05-24,BOA,en,Google Play,en
Very Very nice 👌 👍,5,2024-05-23,BOA,en,Google Play,en
Cool,4,2024-05-22,BOA,en,Google Play,en
What is that disable developer option I have never seen any app commands.,3,2024-05-22,BOA,en,Google Play,en
Please fix the app i doesn't belongs to Abbssinya Bank Name,1,2024-05-22,BOA,en,Google Play,en
"Playstore need to have some option to give 0 stars because this application right here, deserve exactly that, imagine being one of the biggest banks In the country and can't manage to have good mobile application in the Era of mobile money, you guys are in the brink of collapse you better make it right real quick or you gonna be 10 meters down to the grave. DON'T USE THIS APP, IT'S WASTE OF TIME.",1,2024-05-21,BOA,en,Google Play,en
It's good when i've downloaded at first. But now it doesn't work well,2,2024-05-20,BOA,en,Google Play,en
It's just terrible. It kept crashing in middle of transaction. Hell sometimes it won't open. My phone is stock Android (pixel 8) and I don't even know how this happens. Fix it!,1,2024-05-20,BOA,en,Google Play,en
Good but not working top up,5,2024-05-20,BOA,en,Google Play,en
It is good,5,2024-05-19,BOA,en,Google Play,en
Great app..,3,2024-05-18,BOA,en,Google Play,en
This app is the most worst app I used in Ethiopia and belive me I know I live in Ethiopia. Being the fincial app It doesn't work when you want it. It makes you wait for cash out code and immediately debit the amount before sending the code I have got to say abysinia bank I didn't expect this from you and I use CBE mobile banking,1,2024-05-18,BOA,en,Google Play,en
Poor mobile banking alwayes not working alwayes,1,2024-05-18,BOA,en,Google Play,en
"Absolutely the worst mobile banking app.it crashs every time,problem when logging in and and cuts my balance when top up without even recharging",1,2024-05-17,BOA,en,Google Play,en
Fails occasionally.,4,2024-05-17,BOA,en,Google Play,en
Worst app ever,1,2024-05-16,BOA,en,Google Play,en
Easy and cool app,5,2024-05-16,BOA,en,Google Play,en
App is so bad network,1,2024-05-16,BOA,en,Google Play,en
It's not working for 3days. Come on as a big bank in Ethiopia this is unprofessionallism from boa,1,2024-05-15,BOA,en,Google Play,en
"Be careful of using this app to transfer large sums of money. Recently I can't top up my mobile card, can't pay tickets, can't transfer money to Telebirr. The *815# works but what's the use of an app if we're using USSD. It will refund your mobile top up days after failing to top up but I wouldn't want to risk that. I'm a big fan of BoA but I wouldn't recommend this app. 👎",1,2024-05-15,BOA,en,Google Play,en
"The worst mobile banking app, doesn't even work for a week properly.",1,2024-05-15,BOA,en,Google Play,en
Secretary,5,2024-05-14,BOA,en,Google Play,en
77867748 I can't update my mobile banking,1,2024-05-14,BOA,en,Google Play,en
Hate how we're expected to disable 'Developer Options' everytime we open the app. An unnecessary point of friction that's been put in place in the guise of security.,2,2024-05-14,BOA,en,Google Play,en
Build a new app,1,2024-05-13,BOA,en,Google Play,en
Exceptional service,5,2024-05-13,BOA,en,Google Play,en
I don't get why this app is developed it is not functional at all !!,1,2024-05-12,BOA,en,Google Play,en
This app is trash,1,2024-05-12,BOA,en,Google Play,en
It's improved now,3,2024-05-12,BOA,en,Google Play,en
It is really make my life so much easy!,5,2024-05-12,BOA,en,Google Play,en
Good appp,1,2024-05-11,BOA,en,Google Play,en
My advice for whoever reading is go look for other bank(awash bank is a great example). This bank won't even allow you to access your money when you want. It has bad servers which don't work(respond) on time.,1,2024-05-11,BOA,en,Google Play,en
Preventing login because I have developer options on is not security. Moved all my money somewhere else because I just didn't wanna deal with it,1,2024-05-11,BOA,en,Google Play,en
The app has bugs. Signing in is still a challenge. Transfer to another bank is impossible. The app is slow and bland.,3,2024-05-11,BOA,en,Google Play,en
Why do u force me to Turn OFF developers option just to use your app its not fair and am not using ur app anymore,1,2024-05-10,BOA,en,Google Play,en
"Very poor app. It crashes every time, doesn't load properly, and you can't even buy airtime. The programming is subpar. Please take lessons from other online banking apps. I would give it a zero if I could!!",1,2024-05-10,BOA,en,Google Play,en
This app is very simpl for useing,4,2024-05-10,BOA,en,Google Play,en
Very laggy un able to make transactions Fix it,1,2024-05-10,BOA,en,Google Play,en
After recent update the app keeps asking to disable developers options and won't let you use it unless you do.,2,2024-05-10,BOA,en,Google Play,en
Great UI UX Design !!!,5,2024-05-09,BOA,en,Google Play,en
App is any updates why?,5,2024-05-09,BOA,en,Google Play,en
"I am an app developer, I need to keep developer options on... WHY ARE YOU ASKING ME TO TURN DEVELOPER OPTIONS OFF... why is it that Abyssinia is the only damned bank in Ethiopia that just can't seem to buld an app that works... it's not that hard people, just look at CBE... this is simply terrible, borderline unusable!",1,2024-05-09,BOA,en,Google Play,en
UGH 🤮🤮🤮 they are super calculative when it CM 2 Mobile-banking or any online stuff. If ur degital!! better chose other bank.,1,2024-05-09,BOA,en,Google Play,en
Slow every time,2,2024-05-08,BOA,en,Google Play,en
It takes a very long time to log in please fix,1,2024-05-08,BOA,en,Google Play,en
It's not functional at all,1,2024-05-08,BOA,en,Google Play,en
What's wrong with App. this days? it doesn't working properly. 1) it's VERY SLOW & doesn't open. it's very Annoying. 2) most of the time it says repeatedly Please try it again or try it later but again and again it doesn't open or work. 3) repeatedly it says something went wrong then it off the screen. I've updated the App. when it needed but nothing changed. 👉PLEASE if it has some issues with the App. Please fix it otherwise I'm going to uninstall it.,2,2024-05-08,BOA,en,Google Play,en
Disgrace app,1,2024-05-08,BOA,en,Google Play,en
It crash repeatedly! Try to make it more stable for customers need meet!,2,2024-05-07,BOA,en,Google Play,en
After two weeks it require update why?,5,2024-05-07,BOA,en,Google Play,en
It keeps crashing and hasn't been fixed,1,2024-05-07,BOA,en,Google Play,en
"The application is full of bug, so annoying.",1,2024-05-07,BOA,en,Google Play,en
"Why is the app asking me to remove developer options? Why does it matter what I do with my phone , this is unacceptable! Fix this",3,2024-05-06,BOA,en,Google Play,en
Worst application relative to other Ethiopia mobile banking app,1,2024-05-06,BOA,en,Google Play,en
"""I am extremely disappointed with the poor service I have received. It is unacceptable that I cannot make transactions of 30,000 Birr and sometimes my money gets stuck in the air. As a result of your incompetence, I have been forced to change my bank account. This level of service is completely unacceptable and needs to be rectified immediately.""",1,2024-05-06,BOA,en,Google Play,en
Great app,5,2024-05-05,BOA,en,Google Play,en
"Doesn't work properly, keeps closing won't activate any account, I wouldn't recommend downloading",1,2024-05-05,BOA,en,Google Play,en
Pls improve your mobile banking app it's doesn't work constantly after i updated the new version of your app try to improve,1,2024-05-05,BOA,en,Google Play,en
"The version 24.04.26 is not opening on any of my devices. I noticed this issue on my friend's Android 9 phone and also on my Samsung Android 12 phone. Even after weekly updates, the newest version is not working properly. Please provide a stable version update, as I prefer the older version of the app from the new one.",1,2024-05-04,BOA,en,Google Play,en
it's good app,5,2024-05-04,BOA,en,Google Play,en
Good service,5,2024-05-04,BOA,en,Google Play,en
This app is not working!!,1,2024-05-04,BOA,en,Google Play,en
this app not work why?pleas tell me,2,2024-05-04,BOA,en,Google Play,en
I am comfortable with your good service,5,2024-05-04,BOA,en,Google Play,en
best app from any mobilebanking,5,2024-05-04,BOA,en,Google Play,en
It crushes repeatedly,1,2024-05-03,BOA,en,Google Play,en
Very bad app as always bothering any transaction processes.,1,2024-05-03,BOA,en,Google Play,en
Actually faster,4,2024-05-03,BOA,en,Google Play,en
I prefer the earlier version. This updated app crushes during login and says there is bug. Please fix the bug issue.,4,2024-05-03,BOA,en,Google Play,en
Soo many bugs on this app I haven't been able to use it since I installed it very bad,1,2024-05-03,BOA,en,Google Play,en
My #1 choice,5,2024-05-03,BOA,en,Google Play,en
This application isn't working properly,1,2024-05-03,BOA,en,Google Play,en
This is too poorer than the previous app.,1,2024-05-03,BOA,en,Google Play,en
cool App Tnxes,5,2024-05-03,BOA,en,Google Play,en
"The app keeps crashign again and again, i didn't even get to sign in. Worst update!!",1,2024-05-03,BOA,en,Google Play,en
"Developers/ the company takes too long to update the app, and throughout that process, the app is basically useless. We can't send money or even be able to check our account. They even take it down from the Play Store for a while. This whole process usually takes them 3 to 5 days. This is very disappointing. It is an improvement from the previous version of the app, but they still have a long way to go to compete with the likes of CBE. Transferring to other banks sometimes doesn't work.",2,2024-05-03,BOA,en,Google Play,en
"Was working ok.but it started not displaying banks list to choose from, and it needs updating every couple of days, annoying",3,2024-05-03,BOA,en,Google Play,en
"Dear BOA, Are you sure you are upgrading your application. It is becoming worse and worse. Please fix the bug as quickly as possible.",1,2024-05-03,BOA,en,Google Play,en
Nice one thanks abisiniya,5,2024-05-03,BOA,en,Google Play,en
it doesnt work it crashes,1,2024-05-03,BOA,en,Google Play,en
It keeps clashing down What a crass stupid app is this... You forced me to update after I transferred money and now I can't open it,1,2024-05-03,BOA,en,Google Play,en
Crash... glitch... crash... blame connection... crash... crash again. Please fix it,1,2024-05-02,BOA,en,Google Play,en
So unreliable i had to send money asap but this app either laggs or doesn't work such a lazy work look at how efficient tele birr is and its not even a bank,1,2024-05-02,BOA,en,Google Play,en
Great app than others,5,2024-05-02,BOA,en,Google Play,en
OMG this is like the worst mobile banking app ever. I have many different mobile banking app from different banks but this is the worst so far. It says it has connection issue when I have wifi or data connection and while I'm using other social media apps. It keeps asking me for update once like every week and takes forever to load like I have to wait at least 10 minutes to login and another 10 min to see my balance.,1,2024-05-02,BOA,en,Google Play,en
I think I remember it worked once upon time...,2,2024-05-02,BOA,en,Google Play,en
This app is going to the worest boa app ever😡 It crushes every time login.,1,2024-05-02,BOA,en,Google Play,en
"The app never worked properly, specially on android 14, do better",1,2024-05-02,BOA,en,Google Play,en
Fix the bug.,1,2024-05-02,BOA,en,Google Play,en
all the time updated but im not satisfy by boa mobile bancking 😡😡😡,1,2024-05-02,BOA,en,Google Play,en
It always crashes,1,2024-05-02,BOA,en,Google Play,en
Worst app ever. Barely works,1,2024-05-02,BOA,en,Google Play,en
It keep making me out and crash when i open the app and not working properly,1,2024-05-02,BOA,en,Google Play,en
"After last update, the app keeps crashing, not working. Pls fix it. Mobile transactions become impossible.",1,2024-05-02,BOA,en,Google Play,en
Very bad app,2,2024-05-02,BOA,en,Google Play,en
"I don't know why every time you come up with a new update the app get worst than the oldest, it is taking more time to load, can load money to telebirr, can't pay awach. Please try to fix it.",1,2024-05-02,BOA,en,Google Play,en
The worest mobile banking app,1,2024-05-02,BOA,en,Google Play,en
It was working good before the last update but after the update it asks to disable developer option. why is that? That means any developer with developer option enabled can't access his account. It crushs a lot of times.,2,2024-05-01,BOA,en,Google Play,en
"From Ethiopian Internet banking Abbisiniya Internet banking application is the most worst boring and slower app, please fix that",1,2024-05-01,BOA,en,Google Play,en
good App and user friendly.,4,2024-05-01,BOA,en,Google Play,en
Every time needs update & after that it's not working it's too boring,1,2024-05-01,BOA,en,Google Play,en
What mean disable developer option?,5,2024-05-01,BOA,en,Google Play,en
"Slow login, crashes frequently, annoying app ever. Since you updated this app, it's been extremely unhelpful.",1,2024-05-01,BOA,en,Google Play,en
"why do we need to turn off ""developer options"" in order to use your app, on the new update??? Are we suppose to not use our device for other purposes just so we can use your app? It is not security it is BS. (fix that and I will update my rating)",1,2024-05-01,BOA,en,Google Play,en
Annoying it doesn't work totally,1,2024-05-01,BOA,en,Google Play,en
The Worst application ever,1,2024-05-01,BOA,en,Google Play,en
The best beautiful app,5,2024-05-01,BOA,en,Google Play,en
Keeps crashing everytime what a disaster,1,2024-05-01,BOA,en,Google Play,en
It doesn't work anymore,1,2024-05-01,BOA,en,Google Play,en
"The app is terrible, nothing functions properly. Especially since the latest update, it crashes all the time.",1,2024-05-01,BOA,en,Google Play,en
"It's good app but the system is not same as CBE bankin mobile When i compare To these apps BOA and CBE, CBE is the best up",1,2024-05-01,BOA,en,Google Play,en
Please focus on the functionality of the app instead of spending money on the advertisements.,1,2024-05-01,BOA,en,Google Play,en
Frequently crashing fix it please,1,2024-05-01,BOA,en,Google Play,en
95% of the time it crashes,1,2024-05-01,BOA,en,Google Play,en
The worst update ever You don't deserve one star;,1,2024-05-01,BOA,en,Google Play,en
No feature works correctly. Its always buffering and needs probably high data. So its useless 😏😏😏,2,2024-04-30,BOA,en,Google Play,en
"This app is trash, it's not working for the past 3-4 days. I've to go to the bank to send money to other banks. Plus the app keeps crashing since the last update. BOA as a bank is deteriorating! This has to change.",1,2024-04-30,BOA,en,Google Play,en
App needs a lot of work. It continuously crashes and shuts down.,1,2024-04-30,BOA,en,Google Play,en
Not comfortable with this version. Its hard to down it load Developer option is not allowed to use it as usual.,5,2024-04-30,BOA,en,Google Play,en
This app is so annoying as the previous version.,3,2024-04-30,BOA,en,Google Play,en
Need many improvements,2,2024-04-30,BOA,en,Google Play,en
Great always great!!!,5,2024-04-30,BOA,en,Google Play,en
Pic new,5,2024-04-30,BOA,en,Google Play,en
"Such a junk application, its not working at all. Waste of time",1,2024-04-30,BOA,en,Google Play,en
Hello is this new update cuz it keeps kicking me out!!!!! can't make a transaction fr!,3,2024-04-30,BOA,en,Google Play,en
"you guys keep on releasing unstable app, now it won't login",2,2024-04-30,BOA,en,Google Play,en
"I never ever seen the worst commercial app like this in my life , it does not work anything , i donot know how the IT Team of the bank tested and launch the app. Its annoying !",1,2024-04-30,BOA,en,Google Play,en
The best bank with the worst application and ussd service.,1,2024-04-30,BOA,en,Google Play,en
The old version is best. This one is so lagging and it's not fast to quick transfer,1,2024-04-30,BOA,en,Google Play,en
The latest update has a bug it keeps crashing. Please fix it it's so inconvenient to do our business this way. That or we will switch to other banks,3,2024-04-30,BOA,en,Google Play,en
Amaizing Bank in Etthiopia,5,2024-04-30,BOA,en,Google Play,en
It doesn't function properly!! You don't even deserve one star.. please stop playing your dirty game on your customer...,1,2024-04-29,BOA,en,Google Play,en
That's a fantastic app! L,2,2024-04-29,BOA,en,Google Play,en
The best bank,5,2024-04-29,BOA,en,Google Play,en
"This app has been found useless while I compared with the first version of IB12111...that was very good, you guys what is the matter with you. You are far from the technology and the competetor's digital product through convenience, reliable, easeness _-dashen, cbe, zemen... they are doing well! share their experience and be able to satisfy your esteemed customers including me. unless you will be down soon!",1,2024-04-29,BOA,en,Google Play,en
"This new update really sucks.. Can't even get the chance to put my pin, bugs and everything,please fix it developer",1,2024-04-29,BOA,en,Google Play,en
I have never seen the worst mobile app like this,5,2024-04-29,BOA,en,Google Play,en
Very very good app,5,2024-04-29,BOA,en,Google Play,en
it keeps crashing,1,2024-04-29,BOA,en,Google Play,en
Excited,5,2024-04-29,BOA,en,Google Play,en
This app isn't working well on Tecno phone 📱. what is the error??,1,2024-04-29,BOA,en,Google Play,en
"With every update the app keeps on getting worse,it is filled with bugs",1,2024-04-29,BOA,en,Google Play,en
Not working properly why?????????,1,2024-04-29,BOA,en,Google Play,en
The update app is the worest one when i compare with past.,1,2024-04-28,BOA,en,Google Play,en
"It's nice, the stack thing needs update thou",5,2024-04-28,BOA,en,Google Play,en
This application is relatively good even if some times interpreted.But apolo is difficult application please improve it.,5,2024-04-28,BOA,en,Google Play,en
The app is not properly working.,3,2024-04-28,BOA,en,Google Play,en
It is always crushing it loged me out all the time,1,2024-04-28,BOA,en,Google Play,en
I love boa but the mobile app isn't as good as the older version when the app gets update it gets worse and worse it doesn't even work..fix the issue with that,2,2024-04-28,BOA,en,Google Play,en
"Why Why Why???? it is difficult to make transactions, it takes alot of time to make payments, i thought the update will make it work, but it got worse. please fix it",1,2024-04-28,BOA,en,Google Play,en
"the worst app I have ever used, I could've given 5 star if it worked properly even just for logging in and check my accounts. seemed that's impossible",1,2024-04-28,BOA,en,Google Play,en
Very helpfull app,5,2024-04-27,BOA,en,Google Play,en
"Very slow response , try to some updates in the application",1,2024-04-27,BOA,en,Google Play,en
"useless app. bank to bank transactions do not work at all, wallet topups like telebirr take hours to reach. what a shame from a bank this big.",1,2024-04-26,BOA,en,Google Play,en
Really work very good app l like you BoA,5,2024-04-26,BOA,en,Google Play,en
The worst App I have ever seen.,1,2024-04-25,BOA,en,Google Play,en
"I tried it with different phones, it only worked for about a week and then it stopped working. It needs some serious work.",1,2024-04-25,BOA,en,Google Play,en
The onky defect is that it is too slow,3,2024-04-25,BOA,en,Google Play,en
Sorry to say it is very poor apps I have decided to suspend the BoA account,1,2024-04-25,BOA,en,Google Play,en
Boa is the best app but Please Clear Instant or Not instant option of send money be for Asked !!!,5,2024-04-24,BOA,en,Google Play,en
"Installed the latest version of this app on my Android 14 device, but it is not working. I have already received the activation key from your branch (via SMS), but couldn't activate it. It is a failed app. I bet you don't have QA testers.",1,2024-04-24,BOA,en,Google Play,en
"This is not functional at all, it takes forever to make a transaction,please improve it.",1,2024-04-24,BOA,en,Google Play,en
Nic app,5,2024-04-24,BOA,en,Google Play,en
I can't update the enable button not open.,1,2024-04-24,BOA,en,Google Play,en
The best,5,2024-04-24,BOA,en,Google Play,en
The Bank I always love 😘 and work with them is priceless,5,2024-04-24,BOA,en,Google Play,en
It's the best,5,2024-04-24,BOA,en,Google Play,en
"BOA app was one of my favourite back in the days, now I don't if there is an app worsen that this.. very very bad. You need to fix it or remove it.",1,2024-04-24,BOA,en,Google Play,en
This app is very wonderful,5,2024-04-24,BOA,en,Google Play,en
It is not working at all.,1,2024-04-24,BOA,en,Google Play,en
To slow,1,2024-04-23,BOA,en,Google Play,en
"I've never seen a very worst mobile banking system like this, i lost 37000 birr because of your delay transaction system, i called 8397 and they told me stay for confirmation but, after i changed my mind and waiting for confirmation call to cancel the process they sent it with out my approval, so please don't use the mobile banking system please",1,2024-04-23,BOA,en,Google Play,en
In Ethiopia pest Bank,5,2024-04-23,BOA,en,Google Play,en
It is not working,1,2024-04-23,BOA,en,Google Play,en
Only problem is often it has connectivity issues.,5,2024-04-23,BOA,en,Google Play,en
Not bad but please make it lite pls,1,2024-04-23,BOA,en,Google Play,en
"It says ""Something is wrong with your internet banking user, go to your nearest branch"" It hasn't been working since April 13.",1,2024-04-22,BOA,en,Google Play,en
I like this bank by his activity and respect castemers i look like my house,5,2024-04-22,BOA,en,Google Play,en
Bank Of Abyssina,5,2024-04-22,BOA,en,Google Play,en
very fast also nice app i love it,5,2024-04-22,BOA,en,Google Play,en
"By far the nicest looking app by an Ethiopian Bank. But it's functionality is weak. It is full of Transaction error, Function Error. Kudos, but it needs more backend work.",2,2024-04-22,BOA,en,Google Play,en
Not reliable always with some issues,1,2024-04-22,BOA,en,Google Play,en
Right one,1,2024-04-22,BOA,en,Google Play,en
"So BoA, your last application was horrible and buggy. And we thought ""finally!! a functional new app with better UI."" But It didn't last long, a non existent connection error at login.... Please just fix your app to the simplest functional form and it would be up to your other service standards.",1,2024-04-21,BOA,en,Google Play,en
"It has good backgroud and simple. But keeps saying no conectivty , login, Close immediately you made it porly not woriking on stable network!!!",1,2024-04-21,BOA,en,Google Play,en
"It was working fine a couple of days ago, in the utilities section of payment it only provides a few services but that is OK for now but my issue is it has started crashing down these past 2 days",2,2024-04-21,BOA,en,Google Play,en
"This app is awesome, I like the features",5,2024-04-21,BOA,en,Google Play,en
"The app is a total waste of time, it glitches, doesn't log in fast, super slow.",1,2024-04-21,BOA,en,Google Play,en
Very very bad app,1,2024-04-21,BOA,en,Google Play,en
Not work this app ...what is the problem,1,2024-04-20,BOA,en,Google Play,en
the new updated app exception handling for connection fluctuations is so exhausting which lead users to login repeated times.,1,2024-04-20,BOA,en,Google Play,en
"Some problem this app,",1,2024-04-20,BOA,en,Google Play,en
It keeps on crashing,1,2024-04-20,BOA,en,Google Play,en
poor performance,1,2024-04-20,BOA,en,Google Play,en
Hey no working,5,2024-04-19,BOA,en,Google Play,en
It's good app tnx for u new update it's very easy to using this app they add some future tnx Abyssinia bank,5,2024-04-18,BOA,en,Google Play,en
A lot of the app's features have been rearranged but sometimes it works sometimes it doesnt...and that makes it less reliable specially at times of need...pls improve it,2,2024-04-18,BOA,en,Google Play,en
Now am confused upgrade or downgrade 🤔,1,2024-04-17,BOA,en,Google Play,en
Vary good app,5,2024-04-15,BOA,en,Google Play,en
Can you please just make it functional. I don't think anyone cares how good it looks if not a single functionality works. Plus it's not even aestheticaly nice. The loading animated icon has white irregular edges because the logo wasn't cut out correctly. The app doesn't work at all. It doesn't even login. It gets stuck on login just showing the logo animation and blames the issue on connectivity. Connectivity is fine and the proof is that this review is posted.,1,2024-04-15,BOA,en,Google Play,en
The app is not showing my balance or any transaction it is like corrupted showing usd amounts,1,2024-04-13,BOA,en,Google Play,en
Its good,5,2024-04-13,BOA,en,Google Play,en
it's so slow app please fix it,2,2024-04-13,BOA,en,Google Play,en
It crash always,4,2024-04-13,BOA,en,Google Play,en
The most terrible mobel banking app in the world it is not working ones in a week,1,2024-04-13,BOA,en,Google Play,en
"Ultimately, the worst mobile banking experience ever left me feeling exasperated and disillusioned.Its a nightmare",1,2024-04-13,BOA,en,Google Play,en
"The updated version of this app is just time wasting. It doesn't work with 2G/3G network.require log in frequently,not fast as much as possible.automatic log out are the bad features of this app",1,2024-04-13,BOA,en,Google Play,en
Why u do that hh,2,2024-04-13,BOA,en,Google Play,en
Abissiniya bank one of the best for giving the future,5,2024-04-12,BOA,en,Google Play,en
This the best mobile banking App BOA mobile banking included all digital banking features and we can access the most companies and sectors with this App. Thanks for giving this services Keep going .,5,2024-04-12,BOA,en,Google Play,en
"This has to be your worst app ever, damm so many bugs and it lags so baddd. Please fix it",1,2024-04-12,BOA,en,Google Play,en
Simplify your life by using the Abyssinia app I like it because it is comfortable and safe,5,2024-04-11,BOA,en,Google Play,en
"General, when I considered from other banks, this bank is unique",4,2024-04-11,BOA,en,Google Play,en
Boa ... The best,5,2024-04-09,BOA,en,Google Play,en
wow its so attractive,5,2024-04-09,BOA,en,Google Play,en
Yet another useless app,1,2024-04-09,BOA,en,Google Play,en
It's good!,4,2024-04-09,BOA,en,Google Play,en
Great apps,5,2024-04-07,BOA,en,Google Play,en
It closes playing audio app when it is opened . What is the solution?,5,2024-04-06,BOA,en,Google Play,en
OTP should be inserted manually. not working on my phone,2,2024-04-02,BOA,en,Google Play,en
"my device is not auto inserting The OTP, So keyboard should be enabled on the apps OTP login to insert OTP Manually.",3,2024-04-02,BOA,en,Google Play,en
What's wrong with app suddenly stoped to open?,1,2024-03-25,BOA,en,Google Play,en
Just use other banks if you want a good mobile app. CBE is 40X faster and safe than this app.,1,2024-03-23,BOA,en,Google Play,en
Worst app ever previous version was way better than this version after I activated my mobile banking app it says account not found but I'm their system my IB customer does work fine please fix your bugs and test it before you release it I have visit and report many branches and head quarter but they can't fix the problem,1,2024-03-23,BOA,en,Google Play,en
Wow! Thanks BoA,5,2024-03-22,BOA,en,Google Play,en
"The app doesnot allow to transfer from foreign currency accounts to local currency accounts , it says transaction not allowed , please check it and also it is difficult to activate the app from abroad countries since the otp doesn't reach by sms and it uses email, it doesn't allow manual otp input and the email hardly received , please review your app and make an update !!!",2,2024-03-22,BOA,en,Google Play,en
I have nothing against your service but your App!!!!??? When will it ever work? Why do you keep changing the interface whenever there is an update? The most unreadable annoying app.,1,2024-03-22,BOA,en,Google Play,en
When writing amounts z app cannot insert deceimasl so that one cannot transact amounts involving cents !!! A finnacial app to be released without this feature being checked !!!,3,2024-03-20,BOA,en,Google Play,en
BOA mobile the best App,5,2024-03-20,BOA,en,Google Play,en
worst banking app i have ever used. Try to modify it,2,2024-03-19,BOA,en,Google Play,en
The application is extremely slow.,1,2024-03-16,BOA,en,Google Play,en
I couldn't transfer because of bug's its annoying for a bank app nots acceptable,1,2024-03-15,BOA,en,Google Play,en
"It was a very nice app and was exemplary to other banks, but I am experiencing difficulties in transfering transactions and thinking to leave Abyssinia? What would you advise me. ወጣ ወጣና ሆነእኮ ነገሩ።",5,2024-03-14,BOA,en,Google Play,en
This app is a good app,5,2024-03-14,BOA,en,Google Play,en
It's good Rate app,5,2024-03-12,BOA,en,Google Play,en
Always there a problem with this app it says check your connection while connected 😞,1,2024-03-09,BOA,en,Google Play,en
It's bad,1,2024-03-09,BOA,en,Google Play,en
Berry good,5,2024-03-08,BOA,en,Google Play,en
It's not fast to use,3,2024-03-08,BOA,en,Google Play,en
A little faster than before . Thanks,5,2024-03-05,BOA,en,Google Play,en
Application,5,2024-03-05,BOA,en,Google Play,en
The worst mobile banking app like the previous one. How long it would take for BOA to develop a good app?????? Years or decades?,1,2024-03-04,BOA,en,Google Play,en
Was good at first but now i couldn't reach my apollo account in the mobile banking app,1,2024-03-03,BOA,en,Google Play,en
I don't know why they roll out new updates without making sure it works! Why???? Do they need to update to a new staff? Perhaps pay for a better network?? Mindenew? I don't know there always a problem with this app.,1,2024-03-02,BOA,en,Google Play,en
Always crashes,1,2024-03-02,BOA,en,Google Play,en
Best version of boa apps,1,2024-03-02,BOA,en,Google Play,en
"Its amazing and easy to use , but from these two past days it crashes and tells me ""there is not enough connectivity"" while my internet was good enough , and i can't open it anymore !! Fix this proplem ASAP.",5,2024-03-02,BOA,en,Google Play,en
